,Symbol,Name,Industry,IndustryCode
121,FANG,Diamondback Energy Inc,오일 및 가스,501020
122,ALGN,Align Technology Inc,헬스케어 장비 및 용품,561010
123,MDB,MongoDB Inc Class A,소프트웨어 및 IT서비스,572010
124,MTCH,Match Group Inc,소프트웨어 및 IT서비스,572010
125,CEG,Constellation Energy Corp,전기 유틸리티,591010
126,TTWO,Take-Two Interactive Software Inc,레저 상품,532050
127,TSCO,Tractor Supply Co,전문품 상점,534030
128,VRSN,Verisign Inc,소프트웨어 및 IT서비스,572010
129,NTRS,Northern Trust Corp,투자은행 및 서비스,551020
130,ULTA,Ulta Beauty Inc,전문품 상점,534030
131,PGY,Pagaya Technologies Ltd Class A,핀테크,573010
132,SEDG,Solaredge Technologies Inc,재생에너지,502010
133,ARGX,argenx SE ADR,생명과학 및 메디컬 리서치,562020
134,HBAN,Huntington Bancshares Inc,은행,551010
135,HZNP,Horizon Therapeutics PLC,제약,562010
136,PSNY,Polestar Automotive Holding Uk Plc ADR Class A,자동차 및 자동차 부품,531010
137,ICLR,ICON PLC,생명과학 및 메디컬 리서치,562020
138,JBHT,J B Hunt Transport Services Inc,화물 및 물류 서비스,524050
139,HOLX,Hologic Inc,헬스케어 장비 및 용품,561010
140,PODD,Insulet Corp,헬스케어 장비 및 용품,561010
141,SWKS,Skyworks Solutions Inc,반도체 및 반도체 장비,571010
142,SPLK,Splunk Inc,소프트웨어 및 IT서비스,572010
143,BGNE,Beigene Ltd ADR,생명과학 및 메디컬 리서치,562020
144,EXPD,Expeditors International of Washington Inc,화물 및 물류 서비스,524050
145,TRMB,Trimble Inc,소프트웨어 및 IT서비스,572010
146,ALNY,Alnylam Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
147,ZBRA,Zebra Technologies Corp Class A,전자 장비 및 부품,571040
148,STX,Seagate Technology Holdings PLC,"컴퓨터, 전화 및 가전제품",571060
149,ZI,ZoomInfo Technologies Inc,소프트웨어 및 IT서비스,572010
150,LPLA,LPL Financial Holdings Inc,투자은행 및 서비스,551020
151,PFG,Principal Financial Group Inc,보험,553010
152,PPD,PPD Inc,생명과학 및 메디컬 리서치,562020
153,IEP,Icahn Enterprises Units,오일 및 가스,501020
154,TW,Tradeweb Markets Inc Class A,투자은행 및 서비스,551020
155,EXPE,Expedia Group Inc,호텔 및 엔터테인먼트,533010
156,RYAAY,Ryanair Holdings PLC ADR,운송업,524060
157,TCOM,Trip.com Group Ltd ADR,호텔 및 엔터테인먼트,533010
158,INCY,Incyte Corp,제약,562010
159,ACGL,Arch Capital Group Ltd,보험,553010
160,BMRN,Biomarin Pharmaceutical Inc,제약,562010
161,WMG,Warner Music Group Corp Class A,미디어 및 출판,533020
162,TER,Teradyne Inc,반도체 및 반도체 장비,571010
163,NTAP,NetApp Inc,"컴퓨터, 전화 및 가전제품",571060
164,ENTG,Entegris Inc,반도체 및 반도체 장비,571010
165,SSNC,SS&C Technologies Holdings Inc,소프트웨어 및 IT서비스,572010
166,OKTA,Okta Inc Class A,소프트웨어 및 IT서비스,572010
167,CHKP,Check Point Software Technologies Ltd,소프트웨어 및 IT서비스,572010
168,LNT,Alliant Energy Corp,전기 유틸리티,591010
169,AKAM,Akamai Technologies Inc,소프트웨어 및 IT서비스,572010
170,TECH,Bio-Techne Corp,생명과학 및 메디컬 리서치,562020
171,WDC,Western Digital Corp,"컴퓨터, 전화 및 가전제품",571060
172,LKQ,LKQ Corp,자동차 및 자동차 부품,531010
173,LBRDK,Liberty Broadband Corp Series C,미디어 및 출판,533020
174,CINF,Cincinnati Financial Corp,보험,553010
175,JKHY,Jack Henry & Associates Inc,소프트웨어 및 IT서비스,572010
176,COIN,Coinbase Global Inc Class A,핀테크,573010
177,PARA,Paramount Global Class B,미디어 및 출판,533020
178,STLD,Steel Dynamics Inc,메탈&마이닝,512010
179,NLOK,NortonLifeLock Inc,소프트웨어 및 IT서비스,572010
180,POOL,Pool Corp,레저 상품,532050
181,PTC,PTC Inc,소프트웨어 및 IT서비스,572010
182,NICE,Nice Ltd ADR,소프트웨어 및 IT서비스,572010
183,AZPN,Aspen Technology Inc,소프트웨어 및 IT서비스,572010
184,FWONK,Liberty Media Corp Series C,미디어 및 출판,533020
185,CG,Carlyle Group Inc,투자은행 및 서비스,551020
186,CHRW,CH Robinson Worldwide Inc,화물 및 물류 서비스,524050
187,PLUG,Plug Power Inc,재생에너지,502010
188,DOCU,DocuSign Inc,소프트웨어 및 IT서비스,572010
189,ABMD,ABIOMED Inc,헬스케어 장비 및 용품,561010
190,ETSY,ETSY Inc,다양한 소매업,534020
191,GLPI,Gaming and Leisure Properties Inc,주택 및 상업용 리츠,601020
192,RGEN,Repligen Corp,헬스케어 장비 및 용품,561010
193,NDSN,Nordson Corp,"건설장비 및 대형차, 기차, 배",521020
194,APP,Applovin Corp Class A,소프트웨어 및 IT서비스,572010
195,CTXS,Citrix Systems Inc,소프트웨어 및 IT서비스,572010
196,HST,Host Hotels & Resorts Inc,주택 및 상업용 리츠,601020
197,HTHT,H World Group Ltd ADR,호텔 및 엔터테인먼트,533010
198,XP,XP Inc Class A,투자은행 및 서비스,551020
199,UAL,United Airlines Holdings Inc,운송업,524060
200,APA,APA Corp (US),오일 및 가스,501020
201,GRAB,Grab Holdings Ltd Class A,소프트웨어 및 IT서비스,572010
202,VTRS,Viatris Inc,제약,562010
203,PCTY,Paylocity Holding Corp,소프트웨어 및 IT서비스,572010
204,SBNY,Signature Bank,은행,551010
205,FCNCA,First Citizens BancShares Inc (Delaware) Class A,은행,551010
206,CHK,Chesapeake Energy Corp,오일 및 가스,501020
207,OLPX,Olaplex Holdings Inc,"개인, 가정 용품 및 서비스",542010
208,BSY,Bentley Systems Inc Class B,소프트웨어 및 IT서비스,572010
209,RCM,R1 RCM Holdco Inc,헬스케어 업체 및 서비스,561020
210,OTEX,Open Text Corp,소프트웨어 및 IT서비스,572010
211,HAS,Hasbro Inc,레저 상품,532050
212,QRVO,Qorvo Inc,반도체 및 반도체 장비,571010
213,REG,Regency Centers Corp,주택 및 상업용 리츠,601020
214,FSLR,First Solar Inc,재생에너지,502010
215,CZR,Caesars Entertainment Inc,호텔 및 엔터테인먼트,533010
216,DOX,Amdocs Ltd,소프트웨어 및 IT서비스,572010
217,ROKU,Roku Inc Class A,미디어 및 출판,533020
218,HSIC,Henry Schein Inc,헬스케어 장비 및 용품,561010
219,NFE,New Fortress Energy Inc Class A,천연가스 유틸리티,591020
220,FOXA,Fox Corp Class A,미디어 및 출판,533020
221,MORN,Morningstar Inc,전문 및 상업 서비스,522030
222,MKTX,Marketaxess Holdings Inc,투자은행 및 서비스,551020
223,BRKR,Bruker Corp,헬스케어 장비 및 용품,561010
224,ESLT,Elbit Systems Ltd,우주항공 및 국방,521010
225,UTHR,United Therapeutics Corp,생명과학 및 메디컬 리서치,562020
226,UHAL,Amerco,화물 및 물류 서비스,524050
227,LAMR,Lamar Advertising Co Class A,주택 및 상업용 리츠,601020
228,EWBC,East West Bancorp Inc,은행,551010
229,FFIV,F5 Inc,소프트웨어 및 IT서비스,572010
230,ARCC,Ares Capital Corp,다양한 금융서비스,555010
231,BZ,Kanzhun Ltd ADR,소프트웨어 및 IT서비스,572010
232,LOGI,Logitech International SA,"컴퓨터, 전화 및 가전제품",571060
233,ERIE,Erie Indemnity Co Class A,보험,553010
234,JAZZ,Jazz Pharmaceuticals PLC,제약,562010
235,CREE,Cree Inc,반도체 및 반도체 장비,571010
236,BILI,Bilibili Inc ADR,소프트웨어 및 IT서비스,572010
237,AAL,American Airlines Group Inc,운송업,524060
238,DISH,DISH Network Corp Class A,미디어 및 출판,533020
239,GTLB,GitLab Inc Class A,소프트웨어 및 IT서비스,572010
240,LSXMK,Liberty Media Corp Series C,미디어 및 출판,533020
241,NBIX,Neurocrine Biosciences Inc,생명과학 및 메디컬 리서치,562020
242,LSCC,Lattice Semiconductor Corp,반도체 및 반도체 장비,571010
243,MANH,Manhattan Associates Inc,소프트웨어 및 IT서비스,572010
244,CGNX,Cognex Corp,"건설장비 및 대형차, 기차, 배",521020
245,DBX,Dropbox Inc Class A,소프트웨어 및 IT서비스,572010
246,WSC,Willscot Mobile Mini Holdings Corp Class A,전문 및 상업 서비스,522030
247,TPG,TPG Inc Class A,투자은행 및 서비스,551020
248,DLO,Dlocal Ltd Class A,전문 및 상업 서비스,522030
249,EXAS,Exact Sciences Corp,생명과학 및 메디컬 리서치,562020
250,CBSH,Commerce Bancshares Inc,은행,551010
251,PBCT,People's United Financial Inc,은행,551010
252,CAR,Avis Budget Group Inc,운송업,524060
253,SRPT,Sarepta Therapeutics Inc,생명과학 및 메디컬 리서치,562020
254,TTEK,Tetra Tech Inc,전문 및 상업 서비스,522030
255,NWL,Newell Brands Inc,가정용품,532040
256,MAT,Mattel Inc,레저 상품,532050
257,MASI,Masimo Corp,헬스케어 장비 및 용품,561010
258,AFRM,Affirm Holdings Inc Class A,핀테크,573010
259,HOOD,Robinhood Markets Inc Class A,핀테크,573010
260,ZION,Zions Bancorporation NA,은행,551010
261,LECO,Lincoln Electric Holdings Inc,"건설장비 및 대형차, 기차, 배",521020
262,AXON,Axon Enterprise Inc,우주항공 및 국방,521010
263,CHDN,Churchill Downs Inc,호텔 및 엔터테인먼트,533010
264,SWAV,Shockwave Medical Inc,헬스케어 장비 및 용품,561010
265,FIVN,Five9 Inc,소프트웨어 및 IT서비스,572010
266,MIDD,Middleby Corp,가정용품,532040
267,CELH,Celsius Holdings Inc,음료,541010
268,CHNG,Change Healthcare Inc,소프트웨어 및 IT서비스,572010
269,XRAY,DENTSPLY SIRONA Inc,헬스케어 장비 및 용품,561010
270,PAA,Plains All American Pipeline Units,오일 및 가스 장비 및 서비스,501030
271,CASY,Caseys General Stores Inc,식품 및 약품소매,543010
272,LEGN,Legend Biotech Corp ADR,생명과학 및 메디컬 리서치,562020
273,FOX,Fox Corp Class B,미디어 및 출판,533020
274,NXST,Nexstar Media Group Inc Class A,미디어 및 출판,533020
275,FLEX,Flex Ltd,전자 장비 및 부품,571040
276,WYNN,Wynn Resorts Ltd,호텔 및 엔터테인먼트,533010
277,CFLT,Confluent Inc Class A,소프트웨어 및 IT서비스,572010
278,SEIC,SEI Investments Co,투자은행 및 서비스,551020
279,HTZ,Hertz Global Holdings Inc,운송업,524060
280,PPC,Pilgrims Pride Corp,식품 및 담배,541020
281,ACHC,Acadia Healthcare Company Inc,헬스케어 업체 및 서비스,561020
282,FIVE,Five Below Inc,다양한 소매업,534020
283,NVCR,Novocure Ltd,헬스케어 장비 및 용품,561010
284,XM,Qualtrics International Inc Class A,소프트웨어 및 IT서비스,572010
285,BMBL,Bumble Inc Class A,소프트웨어 및 IT서비스,572010
286,CNXC,Concentrix Corp,전문 및 상업 서비스,522030
287,ROLL,RBC Bearings Inc,"건설장비 및 대형차, 기차, 배",521020
288,EXEL,Exelixis Inc,생명과학 및 메디컬 리서치,562020
289,RGLD,Royal Gold Inc,메탈&마이닝,512010
290,LFUS,Littelfuse Inc,"건설장비 및 대형차, 기차, 배",521020
291,CACC,Credit Acceptance Corp,은행,551010
292,YNDX,Yandex NV Class A,소프트웨어 및 IT서비스,572010
293,HCP,HashiCorp Inc Class A,소프트웨어 및 IT서비스,572010
294,LBTYK,Liberty Global PLC Class C,통신 서비스,574010
295,QDEL,Quidelortho Corp,헬스케어 장비 및 용품,561010
296,DKNG,DraftKings Inc Class A,호텔 및 엔터테인먼트,533010
297,SYNH,Syneos Health Inc Class A,생명과학 및 메디컬 리서치,562020
298,AVGOP,BROADCOM Mandatory Conv Pref,반도체 및 반도체 장비,571010
299,HALO,Halozyme Therapeutics Inc,생명과학 및 메디컬 리서치,562020
300,NWSA,News Corp Class A,미디어 및 출판,533020
301,IAC,IAC/Interactivecorp,소프트웨어 및 IT서비스,572010
302,MRVI,Maravai LifeSciences Holdings Inc Class A,생명과학 및 메디컬 리서치,562020
303,RUN,Sunrun Inc,재생에너지,502010
304,Z,Zillow Group Inc Class C,부동산 운영 관리,601010
305,GNTX,Gentex Corp,자동차 및 자동차 부품,531010
306,MKSI,MKS Instruments Inc,"건설장비 및 대형차, 기차, 배",521020
307,AGNC,AGNC Investment Corp,주택 및 상업용 리츠,601020
308,FYBR,Frontier Communications Parent Inc,통신 서비스,574010
309,PDCE,PDC Energy Inc,오일 및 가스,501020
310,OPCH,Option Care Health Inc,헬스케어 업체 및 서비스,561020
311,FFIN,First Financial Bankshares Inc,은행,551010
312,LITE,Lumentum Holdings Inc,커뮤니케이션 및 네트워킹,571020
313,SSB,SouthState Corp,은행,551010
314,SAIA,Saia Inc,화물 및 물류 서비스,524050
315,REYN,Reynolds Consumer Products Inc,가정용품,532040
316,PNFP,Pinnacle Financial Partners Inc,은행,551010
317,PENN,Penn National Gaming Inc,호텔 및 엔터테인먼트,533010
318,FUTU,Futu Holdings Ltd ADR,핀테크,573010
319,APLS,Apellis Pharmaceuticals Inc,제약,562010
320,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,533010
321,VLY,Valley National Bancorp,은행,551010
322,FSV,FirstService Corp,부동산 운영 관리,601010
323,CRSP,CRISPR Therapeutics AG,생명과학 및 메디컬 리서치,562020
324,BPOP,Popular Inc,은행,551010
325,BOKF,BOK Financial Corp,은행,551010
326,SOFI,SoFi Technologies Inc,은행,551010
327,MQ,Marqeta Inc Class A,핀테크,573010
328,DOOO,BRP Inc,레저 상품,532050
329,DSGX,Descartes Systems Group Inc,소프트웨어 및 IT서비스,572010
330,WWD,Woodward Inc,"건설장비 및 대형차, 기차, 배",521020
331,IRDM,Iridium Communications Inc,통신 서비스,574010
332,SYNA,Synaptics Inc,반도체 및 반도체 장비,571010
333,UFPI,Ufp Industries Inc,종이 및 임산물,513010
334,LYFT,Lyft Inc Class A,소프트웨어 및 IT서비스,572010
335,IIVI,II-VI Inc,전자 장비 및 부품,571040
336,EXLS,Exlservice Holdings Inc,전문 및 상업 서비스,522030
337,LSTR,Landstar System Inc,화물 및 물류 서비스,524050
338,KNTK,Kinetik Holdings Inc Class A,오일 및 가스 장비 및 서비스,501030
339,CYBR,Cyberark Software Ltd,소프트웨어 및 IT서비스,572010
340,GDS,GDS Holdings Ltd ADR,소프트웨어 및 IT서비스,572010
341,OLED,Universal Display Corp,반도체 및 반도체 장비,571010
342,AMKR,Amkor Technology Inc,반도체 및 반도체 장비,571010
343,CHRD,Chord Energy Corp,오일 및 가스,501020
344,MNDT,Mandiant Inc,소프트웨어 및 IT서비스,572010
345,SHC,Sotera Health Co,전문 및 상업 서비스,522030
346,IPGP,IPG Photonics Corp,전자 장비 및 부품,571040
347,CIGI,Colliers International Group Inc,부동산 운영 관리,601010
348,NOVT,Novanta Inc,전자 장비 및 부품,571040
349,IONS,Ionis Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
350,LNTH,Lantheus Holdings Inc,헬스케어 장비 및 용품,561010
351,MSPR,MSP Recovery Inc Class A,보험,553010
352,ITCI,Intra-Cellular Therapies Inc,생명과학 및 메디컬 리서치,562020
353,UBSI,United Bankshares Inc,은행,551010
354,COUP,Coupa Software Inc,소프트웨어 및 IT서비스,572010
355,DRVN,Driven Brands Holdings Inc,"개인, 가정 용품 및 서비스",542010
356,GH,Guardant Health Inc,생명과학 및 메디컬 리서치,562020
357,AZTA,Azenta Inc,생명과학 및 메디컬 리서치,562020
358,OZK,Bank Ozk,은행,551010
359,WTFC,Wintrust Financial Corp,은행,551010
360,SLAB,Silicon Laboratories Inc,반도체 및 반도체 장비,571010
361,TSEM,Tower Semiconductor Ltd,반도체 및 반도체 장비,571010
362,VNOM,Viper Energy Partners Units,오일 및 가스,501020
363,NVEI,Nuvei Corp,전문 및 상업 서비스,522030
364,PLTK,Playtika Holding Corp,소프트웨어 및 IT서비스,572010
365,NATI,National Instruments Corp,소프트웨어 및 IT서비스,572010
366,EXPO,Exponent Inc,전문 및 상업 서비스,522030
367,FIZZ,National Beverage Corp,음료,541010
368,ONB,Old National Bancorp,은행,551010
369,LHCG,LHC Group Inc,헬스케어 업체 및 서비스,561020
370,MEDP,Medpace Holdings Inc,생명과학 및 메디컬 리서치,562020
371,MNDY,Monday.Com Ltd,소프트웨어 및 IT서비스,572010
372,OMCL,Omnicell Inc,헬스케어 장비 및 용품,561010
373,TWKS,Thoughtworks Holding Inc,소프트웨어 및 IT서비스,572010
374,PYCR,Paycor HCM Inc,소프트웨어 및 IT서비스,572010
375,LNW,Light & Wonder Inc,호텔 및 엔터테인먼트,533010
376,EVO,Evotec SE ADR,생명과학 및 메디컬 리서치,562020
377,HQY,Healthequity Inc,소프트웨어 및 IT서비스,572010
378,ALGM,Allegro Microsystems Inc,반도체 및 반도체 장비,571010
379,NTLA,Intellia Therapeutics Inc,생명과학 및 메디컬 리서치,562020
380,EEFT,Euronet Worldwide Inc,전문 및 상업 서비스,522030
381,POWI,Power Integrations Inc,반도체 및 반도체 장비,571010
382,QLYS,Qualys Inc,소프트웨어 및 IT서비스,572010
383,ENSG,Ensign Group Inc,헬스케어 업체 및 서비스,561020
384,COKE,Coca-Cola Consolidated Inc,음료,541010
385,NTRA,Natera Inc,헬스케어 장비 및 용품,561010
386,CRUS,Cirrus Logic Inc,반도체 및 반도체 장비,571010
387,IART,Integra Lifesciences Holdings Corp,헬스케어 장비 및 용품,561010
388,AVT,Avnet Inc,전자 장비 및 부품,571040
389,ALTR,Altair Engineering Inc Class A,소프트웨어 및 IT서비스,572010
390,TXG,10X Genomics Inc Class A,헬스케어 장비 및 용품,561010
391,IRTC,iRhythm Technologies Inc,헬스케어 장비 및 용품,561010
392,SIGI,Selective Insurance Group Inc,보험,553010
393,COLM,Columbia Sportswear Co,섬유 및 의류,532020
394,WEN,Wendys Co,호텔 및 엔터테인먼트,533010
395,SPSC,SPS Commerce Inc,소프트웨어 및 IT서비스,572010
396,NVAX,Novavax Inc,생명과학 및 메디컬 리서치,562020
397,WB,Weibo Corp ADR Class A,미디어 및 출판,533020
398,ASND,Ascendis Pharma A/S ADR,생명과학 및 메디컬 리서치,562020
399,PINC,Premier Inc Class A,헬스케어 업체 및 서비스,561020
400,CROX,Crocs Inc,섬유 및 의류,532020
401,ARWR,Arrowhead Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
402,RRR,Red Rock Resorts Inc Class A,호텔 및 엔터테인먼트,533010
403,SRCL,Stericycle Inc,전문 및 상업 서비스,522030
404,UMBF,UMB Financial Corp,은행,551010
405,TNDM,Tandem Diabetes Care Inc,헬스케어 장비 및 용품,561010
406,DH,Definitive Healthcare Corp Class A,소프트웨어 및 IT서비스,572010
407,TENB,Tenable Holdings Inc,소프트웨어 및 IT서비스,572010
408,FIBK,First Interstate BancSystem Inc Class A,은행,551010
409,NARI,Inari Medical Inc,헬스케어 장비 및 용품,561010
410,ICUI,ICU Medical Inc,헬스케어 장비 및 용품,561010
411,CERE,Cerevel Therapeutics Holdings Inc Class A,생명과학 및 메디컬 리서치,562020
412,CHX,ChampionX Corp,오일 및 가스 장비 및 서비스,501030
413,PAAS,Pan American Silver Corp,메탈&마이닝,512010
414,CWST,Casella Waste Systems Inc Class A,전문 및 상업 서비스,522030
415,ALKS,Alkermes Plc,생명과학 및 메디컬 리서치,562020
416,WOOF,Petco Health and Wellness Company Inc Class A,전문품 상점,534030
417,BRZE,Braze Inc Class A,소프트웨어 및 IT서비스,572010
418,SITM,SiTime Corp,반도체 및 반도체 장비,571010
419,BEAM,Beam Therapeutics Inc,생명과학 및 메디컬 리서치,562020
420,PRVA,Privia Health Group Inc,헬스케어 업체 및 서비스,561020
421,HWC,Hancock Whitney Corp,은행,551010
422,FELE,Franklin Electric Co Inc,"건설장비 및 대형차, 기차, 배",521020
423,BECN,Beacon Roofing Supply Inc,주택건설,532030
